"","Gene_name","WT1","WT3","WT4","muMT3","muMT1"
"4097","Ccdc69",0,0,0,0,0
"4098","Ccdc7",0,0,0,0,0
"4099","Ccdc70",0,0,0,0,0
"4100","Ccdc71",2,7,4,1,2
"4101","Ccdc71l",19,25,20,19,4
"4102","Ccdc73",176,245,290,294,203
"4103","Ccdc74a",4,5,5,6,6
"4104","Ccdc77",9,11,13,6,0
"4105","Ccdc78",29,51,61,54,51
"4106","Ccdc79",0,0,0,0,0
"4107","Ccdc8",0,0,0,0,0
"4108","Ccdc80",0,4,0,0,3
"4109","Ccdc81",0,1,1,0,0
"4110","Ccdc82",2,2,5,1,1
"4111","Ccdc83",0,0,0,0,0
"4112","Ccdc84",10,19,28,22,11
"4113","Ccdc85a",1,1,7,2,2
"4114","Ccdc85b",1,5,1,2,0
"4115","Ccdc85c",3,0,0,1,1
"4116","Ccdc86",1,5,2,1,1
"4117","Ccdc87",0,0,0,1,0
"4118","Ccdc88a",3,1,9,2,7
"4119","Ccdc88b",10,5,23,11,8
"4120","Ccdc88c",0,0,3,1,1
"4121","Ccdc89",0,0,0,0,0
"4122","Ccdc9",2,7,7,2,3
"4123","Ccdc90a",2,0,1,1,1
"4124","Ccdc90b",14,18,27,12,7
"4125","Ccdc91",2,1,3,1,1
"4126","Ccdc92",2,2,1,1,2
"4127","Ccdc93",1,3,3,0,0
"4128","Ccdc94",5,5,1,4,3
"4129","Ccdc96",0,0,0,2,2
"4130","Ccdc97",0,0,3,1,0
"4131","Ccer1",0,0,0,0,0
"4132","Cchcr1",0,0,0,1,0
"4133","Ccin",0,0,0,1,0
"4134","Cck",4,3,4,7,2
"4135","Cckar",0,0,0,0,0
"4136","Cckbr",0,0,0,0,0
"4137","Ccl1",0,0,0,0,0
"4138","Ccl11",0,0,0,0,0
"4139","Ccl12",0,0,0,0,0
"4140","Ccl17",0,3,11,7,3
"4141","Ccl19",0,2,2,1,0
"4142","Ccl2",0,0,0,0,0
"4143","Ccl20",0,0,0,0,0
"4144","Ccl21a",0,0,0,0,0
"4145","Ccl21b",0,0,0,0,0
"4146","Ccl21c",0,0,0,0,0
"4147","Ccl22",0,0,0,0,0
"4148","Ccl24",0,0,0,0,0
"4149","Ccl25",0,0,0,0,0
"4150","Ccl26",0,0,0,0,0
"4151","Ccl27a",2,1,0,3,2
"4152","Ccl27b",0,1,0,0,0
"4153","Ccl28",2,0,1,3,0
"4154","Ccl3",1,4,1,2,3
"4155","Ccl4",0,0,0,0,0
"4156","Ccl5",0,0,0,0,0
"4157","Ccl6",0,0,0,0,0
"4158","Ccl7",0,0,0,0,0
"4159","Ccl8",0,0,0,0,0
"4160","Ccl9",0,0,0,0,0
"4161","Ccm2",0,0,2,2,0
"4162","Ccm2l",3,0,1,0,1
"4163","Ccna1",1,3,2,2,1
"4164","Ccna2",268,384,373,408,377
"4165","Ccnb1",0,0,0,0,0
"4166","Ccnb1ip1",0,0,0,0,0
"4167","Ccnb2",0,0,0,0,0
"4168","Ccnb3",0,0,0,0,0
"4169","Ccnc",0,1,0,1,0
"4170","Ccnd1",51,74,82,66,51
"4171","Ccnd2",4,3,6,3,3
"4172","Ccnd3",6,7,9,10,7
"4173","Ccndbp1",0,2,1,0,0
"4174","Ccne1",1,0,0,2,0
"4175","Ccne2",98,143,166,149,93
"4176","Ccnf",0,6,0,5,0
"4177","Ccng1",1,6,8,2,6
"4178","Ccng2",3,5,4,1,0
"4179","Ccnh",50,61,86,47,40
"4180","Ccni",25,48,68,48,33
"4181","Ccnj",0,0,0,0,0
"4182","Ccnjl",0,1,0,0,0
"4183","Ccnk",1,1,0,0,0
"4184","Ccnl1",7,14,8,14,2
"4185","Ccnl2",9,10,11,9,11
"4186","Ccno",0,0,0,0,0
"4187","Ccnt1",0,2,2,2,0
"4188","Ccnt2",0,1,2,4,1
"4189","Ccny",5,7,3,2,4
"4190","Ccnyl1",0,0,0,0,0
"4191","Ccp110",0,1,1,0,0
"4192","Ccpg1",86,104,119,119,92
"4193","Ccr1",0,0,0,0,0
"4194","Ccr10",10,9,7,2,9
"4195","Ccr1l1",0,0,0,0,0
"4196","Ccr2",0,0,0,0,0
"4197","Ccr3",0,0,0,0,0
"4198","Ccr4",0,1,0,0,0
"4199","Ccr5",2,0,0,0,0
"4200","Ccr6",0,0,0,0,0
"4201","Ccr7",0,0,0,0,0
"4202","Ccr8",0,0,0,0,0
