"","Gene_name","WT1","WT3","WT4","muMT3","muMT1"
"23424","AmnSINE2:Deu:SINE",84,125,143,118,99
"23425","Arthur1:hAT-Tip100:DNA",45,94,86,82,50
"23426","Arthur1A:hAT-Tip100:DNA",3,2,5,1,0
"23427","Arthur1B:hAT-Tip100:DNA",14,29,41,26,20
"23428","Arthur1C:hAT-Tip100:DNA",12,12,18,15,18
"23429","B1F1:Alu:SINE",5385,7449,8880,7506,5086
"23430","B1F2:Alu:SINE",4749,6950,8059,6902,4929
"23431","B1F:Alu:SINE",8003,11319,13845,11495,7996
"23432","B1_Mm:Alu:SINE",4573,7157,8402,6818,4785
"23433","B1_Mur1:Alu:SINE",10931,15640,17887,15439,11131
"23434","B1_Mur2:Alu:SINE",8496,12433,14461,12485,9230
"23435","B1_Mur3:Alu:SINE",7185,10742,12207,10625,7524
"23436","B1_Mur4:Alu:SINE",7878,11414,13541,11708,8180
"23437","B1_Mus1:Alu:SINE",15585,22802,26840,22450,15264
"23438","B1_Mus2:Alu:SINE",11506,17176,20051,16285,11240
"23439","B2_Mm1a:B2:SINE",1575,2361,2945,2281,1493
"23440","B2_Mm1t:B2:SINE",1657,2516,2978,2354,1488
"23441","B2_Mm2:B2:SINE",8125,12017,14991,10904,7089
"23442","B3:B2:SINE",17455,25177,30588,24290,16345
"23443","B3A:B2:SINE",8361,10905,13762,10774,7735
"23444","B4:B4:SINE",4549,6747,7852,6731,4630
"23445","B4A:B4:SINE",6073,9335,11297,8687,5986
"23446","BGLII:ERVK:LTR",92,154,191,151,56
"23447","BGLII_A:ERVK:LTR",22,25,37,29,16
"23448","BGLII_B2:ERVK:LTR",299,550,581,503,391
"23449","BGLII_B:ERVK:LTR",44,101,132,78,43
"23450","BGLII_C:ERVK:LTR",1,4,3,8,4
"23451","BGLII_Mur:ERVK:LTR",42,62,84,69,34
"23452","BGLII_Mus:ERVK:LTR",6,16,15,13,6
"23453","BLACKJACK:hAT-Blackjack:DNA",12,21,25,11,12
"23454","C573_MM:C573_MM:Other",0,0,0,0,0
"23455","CENSAT_MC:centr:Satellite",0,0,0,0,0
"23456","CR1_Mam:CR1:LINE",7,12,19,22,5
"23457","CYRA11_Mm:Y-chromosome:Unknown",103,125,163,88,67
"23458","Chap1_Mam:hAT-Charlie:DNA",111,115,179,142,66
"23459","Charlie10:hAT-Charlie:DNA",80,134,114,124,90
"23460","Charlie10a:hAT-Charlie:DNA",0,1,2,1,0
"23461","Charlie10b:hAT-Charlie:DNA",0,1,0,0,0
"23462","Charlie11:hAT-Charlie:DNA",11,16,12,22,7
"23463","Charlie12:hAT-Charlie:DNA",75,109,123,80,71
"23464","Charlie13a:hAT-Charlie:DNA",3,2,0,2,4
"23465","Charlie13b:hAT-Charlie:DNA",196,302,347,331,277
"23466","Charlie14a:hAT-Charlie:DNA",1,0,1,0,0
"23467","Charlie15a:hAT-Charlie:DNA",101,135,227,141,64
"23468","Charlie15b:hAT-Charlie:DNA",4,3,11,6,3
"23469","Charlie16a:hAT-Charlie:DNA",57,104,89,76,85
"23470","Charlie17:hAT-Charlie:DNA",5,15,13,10,2
"23471","Charlie17a:hAT-Charlie:DNA",0,4,7,3,2
"23472","Charlie17b:hAT-Charlie:DNA",62,43,112,54,19
"23473","Charlie18a:hAT-Charlie:DNA",103,172,163,159,158
"23474","Charlie19a:hAT-Charlie:DNA",9,14,11,14,10
"23475","Charlie1:hAT-Charlie:DNA",302,370,475,365,232
"23476","Charlie1a:hAT-Charlie:DNA",179,248,296,241,149
"23477","Charlie1b:hAT-Charlie:DNA",150,189,258,138,79
"23478","Charlie1b_Mars:hAT-Charlie:DNA",0,0,0,0,0
"23479","Charlie20a:hAT-Charlie:DNA",10,16,16,18,13
"23480","Charlie21a:hAT-Charlie:DNA",3,2,4,4,5
"23481","Charlie22a:hAT-Charlie:DNA",251,326,409,282,214
"23482","Charlie23a:hAT-Charlie:DNA",14,14,24,16,11
"23483","Charlie24:hAT-Charlie:DNA",132,173,217,151,104
"23484","Charlie25:hAT-Charlie:DNA",1,5,8,4,4
"23485","Charlie26a:hAT-Charlie:DNA",105,173,157,146,119
"23486","Charlie29a:hAT-Charlie:DNA",11,7,17,7,11
"23487","Charlie2a:hAT-Charlie:DNA",17,32,32,18,13
"23488","Charlie2b:hAT-Charlie:DNA",100,125,188,111,57
"23489","Charlie4:hAT-Charlie:DNA",8,9,22,11,21
"23490","Charlie4a:hAT-Charlie:DNA",35,77,65,42,32
"23491","Charlie4z:hAT-Charlie:DNA",275,363,468,346,222
"23492","Charlie5:hAT-Charlie:DNA",925,1241,1384,1134,928
"23493","Charlie6:hAT-Charlie:DNA",11,14,17,16,5
"23494","Charlie7:hAT-Charlie:DNA",542,642,953,660,290
"23495","Charlie7a:hAT-Charlie:DNA",76,98,94,89,59
"23496","Charlie8:hAT-Charlie:DNA",681,1100,1146,937,642
"23497","Charlie9:hAT-Charlie:DNA",13,12,17,13,9
"23498","Cheshire:hAT-Charlie:DNA",70,92,130,94,64
"23499","Cheshire_Mars:hAT-Charlie:DNA",1,4,2,8,1
"23500","Cheshire_Mars_:hAT-Charlie:DNA",3,7,4,0,0
"23501","DNA1_Mam:TcMar:DNA",0,0,0,0,0
"23502","ERV3-16A3_I-int:ERVL:LTR",408,500,686,565,367
"23503","ERV3-16A3_LTR:ERVL:LTR",8,7,8,15,7
"23504","ERVB2_1-I_MM-int:ERVK:LTR",0,1,0,1,0
"23505","ERVB2_1A-I_MM-int:ERVK:LTR",16,28,28,28,11
"23506","ERVB3_1-I_MM-int:ERVK:LTR",3,2,3,3,0
"23507","ERVB3_1-LTR_MM:ERVK:LTR",0,1,2,0,0
"23508","ERVB4_1-I_MM-int:ERVK:LTR",21,26,27,26,14
"23509","ERVB4_1-LTR_MM:ERVK:LTR",1,0,0,0,0
"23510","ERVB4_1B-I_MM-int:ERVK:LTR",16,6,22,7,7
"23511","ERVB4_1B-LTR_MM:ERVK:LTR",468,687,795,649,449
"23512","ERVB4_1C-LTR_Mm:ERVK:LTR",23,38,29,37,24
"23513","ERVB4_2-I_MM-int:ERVK:LTR",15,25,28,13,11
"23514","ERVB4_2-LTR_MM:ERVK:LTR",0,0,0,0,0
"23515","ERVB4_3-I_MM-int:ERVK:LTR",0,0,0,0,1
"23516","ERVB4_3-LTR_MM:ERVK:LTR",10,15,20,20,14
"23517","ERVB5_1-I_MM-int:ERVK:LTR",4,1,5,1,2
"23518","ERVB5_1-LTR_MM:ERVK:LTR",31,48,57,35,34
"23519","ERVB5_2-LTR_MM:ERVK:LTR",7,18,11,13,6
"23520","ERVB7_1-LTR_MM:ERVK:LTR",120,172,171,161,92
"23521","ERVB7_2-LTR_MM:ERVK:LTR",228,316,303,338,304
"23522","ERVB7_2B-LTR_MM:ERVK:LTR",16,26,19,22,11
"23523","ERVB7_3-LTR_MM:ERVK:LTR",7,18,24,10,10
"23524","ERVB7_4-LTR_MM:ERVK:LTR",6,7,13,14,1
"23525","ERVL-B4-int:ERVL:LTR",21,29,34,23,16
"23526","ERVL-E-int:ERVL:LTR",121,177,201,167,158
"23527","ERVL-int:ERVL:LTR",14,19,27,20,11
"23528","ETnERV-int:ERVK:LTR",151,253,172,250,151
"23529","ETnERV2-int:ERVK:LTR",1,10,19,7,14
"23530","ETnERV3-int:ERVK:LTR",9,9,22,6,6
"23531","Eulor10:DNA:DNA?",5,9,14,9,1
"23532","Eulor11:DNA:DNA",0,1,0,1,0
"23533","Eulor12:DNA:DNA?",0,3,0,1,1
"23534","Eulor1:DNA:DNA",1,0,1,0,0
"23535","Eulor2A:DNA:DNA?",0,0,3,0,0
"23536","Eulor2B:DNA:DNA?",0,0,2,0,2
"23537","Eulor2C:DNA:DNA?",0,0,3,0,2
"23538","Eulor3:DNA:DNA?",0,0,0,1,0
"23539","Eulor4:Eulor4:Unknown",0,0,0,0,0
"23540","Eulor5A:DNA:DNA?",335,477,582,481,301
"23541","Eulor5B:DNA:DNA?",0,0,2,0,0
"23542","Eulor6A:DNA:DNA?",0,0,0,0,0
"23543","Eulor6B:DNA:DNA?",1,1,3,1,1
"23544","Eulor6C:DNA:DNA?",0,1,0,0,0
"23545","Eulor6D:DNA:DNA?",0,1,0,0,0
"23546","Eulor6E:DNA:DNA?",179,224,274,209,123
"23547","Eulor7:DNA:DNA?",1,0,0,0,0
"23548","Eulor8:TcMar:DNA",1,1,0,0,0
"23549","Eulor9A:DNA:DNA",0,0,2,2,0
"23550","Eulor9B:DNA:DNA",0,0,0,0,0
"23551","Eulor9C:DNA:DNA",0,0,0,0,0
"23552","FAM:Alu:SINE",63,92,104,87,63
"23553","FordPrefect:hAT-Tip100:DNA",7,10,9,5,6
"23554","FordPrefect_a:hAT-Tip100:DNA",1,2,0,0,1
"23555","GSAT_MM:Satellite:Satellite",26,145,55,100,40
"23556","HAL1:L1:LINE",377,475,753,489,286
"23557","HAL1M8:L1:LINE",20,19,25,20,12
"23558","HAL1ME:L1:LINE",20,29,38,29,23
"23559","HAL1_SS:L1:LINE",0,0,1,1,0
"23560","HAL1b:L1:LINE",247,365,320,253,266
"23561","HERV16-int:ERVL:LTR",8,8,9,5,8
"23562","HERVL32-int:ERVL:LTR",0,0,0,0,0
"23563","HERVL40-int:ERVL:LTR",3,4,11,6,8
"23564","HERVL74-int:ERVL:LTR",2,10,14,12,9
"23565","HUERS-P3b-int:ERV1:LTR",0,0,0,0,0
"23566","Helitron1Na_Mam:Helitron:RC",1,0,1,2,1
"23567","Helitron1Nb_Mam:Helitron:RC",0,0,1,0,0
"23568","Helitron2Na_Mam:Helitron:RC?",3,3,7,3,3
"23569","Helitron3Na_Mam:Helitron:RC",116,179,193,177,110
"23570","IAP-d-int:ERVK:LTR",0,4,4,1,2
"23571","IAP1-MM_I-int:ERVK:LTR",5,1,7,0,1
"23572","IAP1-MM_LTR:ERVK:LTR",1,1,3,0,0
"23573","IAPA_MM-int:ERVK:LTR",5,9,9,8,3
"23574","IAPEY2_LTR:ERVK:LTR",14,20,26,19,9
"23575","IAPEY3-int:ERVK:LTR",4,9,9,7,3
"23576","IAPEY3C_LTR:ERVK:LTR",0,1,4,4,1
"23577","IAPEY3_LTR:ERVK:LTR",21,29,36,30,15
"23578","IAPEY4_I-int:ERVK:LTR",8,20,10,10,7
"23579","IAPEY4_LTR:ERVK:LTR",4,3,4,0,1
"23580","IAPEY5_I-int:ERVK:LTR",0,0,1,0,0
"23581","IAPEY5_LTR:ERVK:LTR",4,3,3,0,0
"23582","IAPEY_LTR:ERVK:LTR",4,8,12,9,2
"23583","IAPEy-int:ERVK:LTR",0,3,5,4,1
"23584","IAPEz-int:ERVK:LTR",510,641,854,608,385
"23585","IAPLTR1_Mm:ERVK:LTR",272,394,430,384,202
"23586","IAPLTR1a_Mm:ERVK:LTR",35,50,68,46,24
"23587","IAPLTR2_Mm:ERVK:LTR",71,129,137,102,64
"23588","IAPLTR2a2_Mm:ERVK:LTR",54,83,105,57,36
"23589","IAPLTR2a:ERVK:LTR",31,34,49,34,24
"23590","IAPLTR2b:ERVK:LTR",124,138,194,179,110
"23591","IAPLTR3-int:ERVK:LTR",0,9,7,6,5
"23592","IAPLTR3:ERVK:LTR",11,37,35,17,20
"23593","IAPLTR4:ERVK:LTR",0,2,5,4,0
"23594","IAPLTR4_I:ERVK:LTR",0,0,0,0,0
"23595","ID2:ID:SINE",889,1238,1608,1224,917
"23596","ID4:ID:SINE",7826,11316,13504,11212,7313
"23597","ID4_:ID:SINE",4659,6747,8241,6389,4382
"23598","ID:ID:SINE",1589,2600,2870,2465,1848
"23599","ID_B1:B4:SINE",25715,36283,42866,35593,25693
"23600","IMPB_01:Satellite:Satellite",4259,6684,7882,6281,4108
"23601","Kanga11a:TcMar-Tc2:DNA",15,16,26,13,10
"23602","Kanga1:TcMar-Tc2:DNA",21,41,33,23,25
"23603","Kanga1a:TcMar-Tc2:DNA",339,546,601,516,389
"23604","Kanga1b:TcMar-Tc2:DNA",6,19,17,13,15
"23605","Kanga1c:TcMar-Tc2:DNA",7,8,20,9,1
"23606","Kanga1d:TcMar-Tc2:DNA",2,6,3,1,0
"23607","Kanga2_a:TcMar-Tc2:DNA",24,21,46,35,16
"23608","L1M1:L1:LINE",18,54,64,40,42
"23609","L1M2:L1:LINE",1400,2006,2429,1751,1255
"23610","L1M2a1:L1:LINE",0,0,0,0,0
"23611","L1M2a:L1:LINE",85,97,122,107,80
"23612","L1M2b:L1:LINE",0,0,0,0,0
"23613","L1M2c:L1:LINE",3,2,2,8,0
"23614","L1M3:L1:LINE",262,657,678,366,264
"23615","L1M3a:L1:LINE",2,2,3,3,2
"23616","L1M3b:L1:LINE",1,1,3,1,0
"23617","L1M3c:L1:LINE",14,1,10,15,4
"23618","L1M3d:L1:LINE",2,2,2,4,2
"23619","L1M3de:L1:LINE",12,8,21,13,5
"23620","L1M3e:L1:LINE",111,137,212,158,110
"23621","L1M3f:L1:LINE",2,2,3,2,2
"23622","L1M4:L1:LINE",1373,2122,2561,1892,1328
"23623","L1M4a1:L1:LINE",27,30,35,36,20
"23624","L1M4a2:L1:LINE",55,73,93,71,44
"23625","L1M4b:L1:LINE",200,316,397,284,190
"23626","L1M4c:L1:LINE",230,350,453,369,226
"23627","L1M5:L1:LINE",2944,4432,4818,3769,2548
"23628","L1M6:L1:LINE",9,9,26,15,3
"23629","L1M6B:L1:LINE",4,7,11,4,6
"23630","L1M7:L1:LINE",3,2,4,2,3
"23631","L1M8:L1:LINE",11,6,10,16,8
"23632","L1M:L1:LINE",8,17,23,12,9
"23633","L1MA10:L1:LINE",11,19,18,12,7
"23634","L1MA4:L1:LINE",951,1259,1729,1236,818
"23635","L1MA4A:L1:LINE",63,82,117,97,70
"23636","L1MA5:L1:LINE",262,320,406,278,193
"23637","L1MA5A:L1:LINE",86,115,153,119,81
"23638","L1MA6:L1:LINE",372,470,678,475,256
"23639","L1MA7:L1:LINE",90,145,145,123,88
"23640","L1MA8:L1:LINE",243,357,495,342,164
"23641","L1MA9:L1:LINE",171,245,282,233,142
"23642","L1MB1:L1:LINE",369,444,637,485,269
"23643","L1MB2:L1:LINE",1191,1982,2062,1873,1361
"23644","L1MB3:L1:LINE",499,791,893,731,484
"23645","L1MB4:L1:LINE",287,380,541,438,249
"23646","L1MB5:L1:LINE",543,920,941,815,542
"23647","L1MB7:L1:LINE",2158,3084,3697,2940,1860
"23648","L1MB8:L1:LINE",851,1155,1411,1134,780
"23649","L1MC1:L1:LINE",1434,2034,2337,2166,1436
"23650","L1MC2:L1:LINE",225,365,375,377,248
"23651","L1MC3:L1:LINE",438,573,696,479,362
"23652","L1MC4:L1:LINE",804,1162,1360,1082,766
"23653","L1MC4a:L1:LINE",897,1300,1459,1291,822
"23654","L1MC5:L1:LINE",621,989,1041,985,642
"23655","L1MC5a:L1:LINE",145,210,273,204,135
"23656","L1MC:L1:LINE",377,558,671,520,325
"23657","L1MCa:L1:LINE",301,416,487,455,269
"23658","L1MCb:L1:LINE",8,11,17,12,6
"23659","L1MCc:L1:LINE",31,43,61,41,24
"23660","L1MD1:L1:LINE",167,286,272,266,202
"23661","L1MD2:L1:LINE",936,1174,1667,1188,789
"23662","L1MD3:L1:LINE",344,463,587,417,245
"23663","L1MD:L1:LINE",1931,2718,2958,2700,2036
"23664","L1MDa:L1:LINE",177,227,285,205,161
"23665","L1MDb:L1:LINE",111,124,160,137,69
"23666","L1ME1:L1:LINE",1999,2747,3163,2602,1913
"23667","L1ME2:L1:LINE",381,646,664,529,390
"23668","L1ME2z:L1:LINE",182,316,368,287,182
"23669","L1ME3:L1:LINE",439,655,586,584,490
"23670","L1ME3A:L1:LINE",1047,1711,1780,1669,1222
"23671","L1ME3B:L1:LINE",210,278,316,244,206
"23672","L1ME3C:L1:LINE",293,300,374,277,226
"23673","L1ME3Cz:L1:LINE",77,111,170,106,76
"23674","L1ME3D:L1:LINE",122,206,216,174,122
"23675","L1ME3E:L1:LINE",50,52,78,62,50
"23676","L1ME3F:L1:LINE",23,42,51,46,29
"23677","L1ME3G:L1:LINE",172,203,346,152,83
"23678","L1ME4a:L1:LINE",2183,3151,3418,2923,2100
"23679","L1ME4b:L1:LINE",354,520,576,517,369
"23680","L1ME4c:L1:LINE",134,188,240,201,139
"23681","L1ME5:L1:LINE",32,55,36,41,38
"23682","L1MEa:L1:LINE",2,2,3,1,0
"23683","L1MEb:L1:LINE",146,172,238,154,94
"23684","L1MEc:L1:LINE",232,335,428,352,214
"23685","L1MEd:L1:LINE",688,815,1109,800,409
"23686","L1MEf:L1:LINE",70,100,145,107,55
"23687","L1MEg1:L1:LINE",2,2,2,1,2
"23688","L1MEg2:L1:LINE",35,42,60,53,29
"23689","L1MEg:L1:LINE",450,665,783,657,473
"23690","L1MEh:L1:LINE",2,4,4,7,3
"23691","L1MEi:L1:LINE",1131,2326,2386,2422,1663
"23692","L1MEj:L1:LINE",23,39,21,45,22
"23693","L1Md_A:L1:LINE",309,435,500,394,287
"23694","L1Md_F2:L1:LINE",3555,4082,5645,3418,2645
"23695","L1Md_F3:L1:LINE",506,754,1000,697,499
"23696","L1Md_F:L1:LINE",116,131,162,111,65
"23697","L1Md_Gf:L1:LINE",34,38,57,38,19
"23698","L1Md_T:L1:LINE",462,630,794,608,360
"23699","L1P5:L1:LINE",4,5,9,5,3
"23700","L1PB4:L1:LINE",2,10,3,3,2
"23701","L1VL1:L1:LINE",130,176,236,144,67
"23702","L1VL2:L1:LINE",161,215,346,214,114
"23703","L1VL4:L1:LINE",385,436,624,345,217
"23704","L1_Mm:L1:LINE",469,505,574,369,423
"23705","L1_Mur1:L1:LINE",151,224,274,234,130
"23706","L1_Mur2:L1:LINE",394,544,748,441,304
"23707","L1_Mur3:L1:LINE",1269,1711,2063,1519,1072
"23708","L1_Mus1:L1:LINE",1709,2369,3104,2371,1373
"23709","L1_Mus2:L1:LINE",935,1225,1719,1143,744
"23710","L1_Mus3:L1:LINE",1331,1888,2532,1785,1108
"23711","L1_Mus4:L1:LINE",206,352,419,262,170
"23712","L1_Rod:L1:LINE",309,447,594,362,231
"23713","L2:L2:LINE",5840,8629,11337,8522,5120
"23714","L2a:L2:LINE",5216,7464,9170,7326,5113
"23715","L2b:L2:LINE",9939,14385,16665,14199,9488
"23716","L2c:L2:LINE",3507,4838,6052,4878,3273
"23717","L3:CR1:LINE",4986,7116,8725,6851,4702
"23718","L3b:CR1:LINE",1918,2736,3544,2837,1737
"23719","L4_A_Mam:RTE-X:LINE",343,463,434,426,315
"23720","L4_B_Mam:RTE-X:LINE",123,166,138,141,115
"23721","L4_C_Mam:RTE-X:LINE",16,17,14,11,6
"23722","L5:RTE-X:LINE",1,2,2,2,1
"23723","LTR101_Mam:ERVL:LTR",2,6,3,0,3
"23724","LTR102_Mam:ERVL:LTR",54,83,86,57,70
"23725","LTR103_Mam:ERV1:LTR",0,0,0,1,0
"23726","LTR103b_Mam:ERV1:LTR",0,2,0,0,0
"23727","LTR104_Mam:Gypsy:LTR",695,723,1143,735,402
"23728","LTR105_Mam:ERVL:LTR",14,17,9,9,7
"23729","LTR106_Mam:LTR:LTR",49,80,85,97,100
"23730","LTR107_Mam:LTR:LTR",0,0,0,0,3
"23731","LTR108a_Mam:ERVL:LTR",37,43,78,35,30
"23732","LTR108b_Mam:ERVL:LTR",0,0,1,0,0
"23733","LTR108c_Mam:ERVL:LTR",1,0,2,3,0
"23734","LTR108d_Mam:ERVL:LTR",0,0,1,0,0
"23735","LTR108e_Mam:ERVL:LTR",3,0,4,1,0
"23736","LTR109A2:ERV1:LTR",2,0,1,0,0
"23737","LTR10_RN:ERVK:LTR",151,197,243,190,119
"23738","LTR16A1:ERVL:LTR",39,52,62,53,28
"23739","LTR16A2:ERVL:LTR",92,147,190,119,93
"23740","LTR16A:ERVL:LTR",74,125,170,116,102
"23741","LTR16B1:ERVL:LTR",13,24,21,26,16
"23742","LTR16B2:ERVL:LTR",12,10,23,16,12
"23743","LTR16B:ERVL:LTR",31,29,37,14,4
"23744","LTR16C:ERVL:LTR",62,72,64,82,47
"23745","LTR16D1:ERVL:LTR",30,40,36,25,23
"23746","LTR16D2:ERVL:LTR",0,0,0,0,0
"23747","LTR16D:ERVL:LTR",1,9,8,3,4
"23748","LTR16E1:ERVL:LTR",66,96,111,83,41
"23749","LTR16E2:ERVL:LTR",7,15,17,9,6
"23750","LTR23-int:ERV1:LTR",0,0,0,0,0
"23751","LTR27C:ERV1:LTR",0,0,0,0,0
"23752","LTR28:ERV1:LTR",4,10,10,2,8
"23753","LTR28B:ERV1:LTR",95,219,198,200,141
"23754","LTR29:ERV1:LTR",0,1,1,0,0
"23755","LTR31:ERV1:LTR",9,44,57,34,20
"23756","LTR32:ERVL:LTR",0,0,0,0,0
"23757","LTR33:ERVL:LTR",28,56,61,34,30
"23758","LTR33A:ERVL:LTR",38,53,89,53,37
"23759","LTR33A_:ERVL:LTR",396,455,480,455,360
"23760","LTR33B:ERVL:LTR",16,39,44,25,20
"23761","LTR33C:ERVL:LTR",153,207,285,229,157
"23762","LTR34:ERV1:LTR",0,0,0,0,0
"23763","LTR36:ERV1:LTR",0,0,0,0,0
"23764","LTR37-int:ERV1:LTR",0,0,3,3,0
"23765","LTR37A:ERV1:LTR",11,17,25,17,8
"23766","LTR37B:ERV1:LTR",61,82,79,53,42
"23767","LTR39:ERV1:LTR",1,0,0,0,0
"23768","LTR40A1:ERVL:LTR",0,5,2,4,1
"23769","LTR40a:ERVL:LTR",3,5,11,6,2
"23770","LTR40b:ERVL:LTR",5,18,29,6,8
"23771","LTR40c:ERVL:LTR",117,164,209,167,123
"23772","LTR41:ERVL:LTR",121,180,220,141,120
"23773","LTR41B:ERVL:LTR",6,10,13,3,4
"23774","LTR44:ERV1:LTR",0,0,0,0,0
"23775","LTR45:ERV1:LTR",0,0,0,0,0
"23776","LTR45C:ERV1:LTR",0,0,0,0,0
"23777","LTR48:ERV1:LTR",56,77,88,70,38
"23778","LTR48B:ERV1:LTR",15,28,42,34,17
"23779","LTR50:ERVL:LTR",1296,1749,2014,1777,1183
"23780","LTR52-int:ERVL:LTR",0,0,0,0,0
"23781","LTR52:ERVL:LTR",3,6,2,1,1
"23782","LTR53:ERVL:LTR",4,15,8,8,6
"23783","LTR53B:ERVL:LTR",0,0,1,0,0
"23784","LTR55:ERVL:LTR",30,23,26,16,11
"23785","LTR58:ERV1:LTR",8,13,8,11,3
"23786","LTR59:ERV1:LTR",0,0,0,0,0
"23787","LTR64:ERV1:LTR",0,0,0,0,0
"23788","LTR65:ERV1:LTR",13,19,22,22,10
"23789","LTR67B:ERVL:LTR",128,145,188,133,108
"23790","LTR68:ERV1:LTR",7,7,22,24,10
"23791","LTR69:ERVL:LTR",0,0,0,0,0
"23792","LTR72_RN:ERV1:LTR",104,160,174,148,133
"23793","LTR73:ERV1:LTR",2,5,3,0,3
"23794","LTR75:ERVL:LTR",6,5,7,9,7
"23795","LTR75B:ERVL:LTR",1,0,3,1,0
"23796","LTR75_1:ERV1:LTR",0,1,0,0,0
"23797","LTR77:ERV1:LTR",0,0,0,0,0
"23798","LTR78:ERV1:LTR",99,126,178,142,84
"23799","LTR78B:ERV1:LTR",127,122,147,142,80
"23800","LTR79:ERVL:LTR",31,38,60,61,26
"23801","LTR80A:ERVL:LTR",0,2,0,1,1
"23802","LTR80B:ERVL:LTR",2,2,1,1,0
"23803","LTR81:Gypsy:LTR",892,932,1367,897,481
"23804","LTR81A:Gypsy:LTR",6,6,4,3,2
"23805","LTR81B:Gypsy:LTR",11,35,67,35,14
"23806","LTR81C:Gypsy:LTR",403,567,536,634,510
"23807","LTR82A:ERVL:LTR",30,48,62,70,32
"23808","LTR82B:ERVL:LTR",15,11,11,7,3
"23809","LTR83:ERVL:LTR",102,128,207,121,48
"23810","LTR84a:ERVL:LTR",20,40,39,33,20
"23811","LTR84b:ERVL:LTR",12,14,17,10,8
"23812","LTR85a:Gypsy:LTR",91,194,206,176,135
"23813","LTR85b:Gypsy:LTR",0,2,2,1,0
"23814","LTR85c:Gypsy:LTR",2,2,11,1,1
"23815","LTR86A1:ERVL:LTR",2,3,8,1,2
"23816","LTR86A2:ERVL:LTR",26,23,76,43,9
"23817","LTR86B1:ERVL:LTR",32,20,47,39,24
"23818","LTR86B2:ERVL:LTR",1,1,0,0,2
"23819","LTR86C:ERVL:LTR",11,11,13,10,13
"23820","LTR87:ERVL:LTR",76,107,120,94,62
"23821","LTR88a:Gypsy:LTR",139,223,200,222,164
"23822","LTR88b:Gypsy:LTR",1,1,3,0,0
"23823","LTR88c:Gypsy:LTR",1,3,1,2,1
"23824","LTR89:ERVL:LTR",0,1,7,3,0
"23825","LTR90A:LTR:LTR",0,4,1,2,1
"23826","LTR90B:LTR:LTR",5,2,4,6,1
"23827","LTR91:ERVL:LTR",2,6,4,0,0
"23828","LTR9:ERV1:LTR",27,33,49,39,10
"23829","LTR9A1:ERV1:LTR",0,0,0,0,0
"23830","LTR9D:ERV1:LTR",0,0,0,0,0
"23831","LTRIS2:ERV1:LTR",133,167,192,177,99
"23832","LTRIS3:ERV1:LTR",12,19,16,12,4
"23833","LTRIS4:ERV1:LTR",7,21,23,12,11
"23834","LTRIS4A:ERV1:LTR",2,2,3,0,1
"23835","LTRIS4B:ERV1:LTR",8,5,6,1,3
"23836","LTRIS5:ERV1:LTR",1,2,3,1,1
"23837","LTRIS6:ERV1:LTR",2,7,2,5,1
"23838","LTRIS_Mm:ERV1:LTR",44,48,78,37,32
"23839","LTRIS_Mus:ERV1:LTR",144,150,252,161,86
"23840","Looper:PiggyBac:DNA",12,14,32,11,6
"23841","Lx10:L1:LINE",421,618,688,570,357
"23842","Lx2:L1:LINE",339,472,661,421,292
"23843","Lx2A1:L1:LINE",40,39,48,37,24
"23844","Lx2A:L1:LINE",10,26,23,31,17
"23845","Lx2B2:L1:LINE",265,333,506,328,232
"23846","Lx2B:L1:LINE",105,177,215,140,87
"23847","Lx3A:L1:LINE",315,369,609,394,207
"23848","Lx3B:L1:LINE",147,196,282,202,111
"23849","Lx3C:L1:LINE",334,422,559,423,237
"23850","Lx3_Mus:L1:LINE",229,308,387,330,187
"23851","Lx4A:L1:LINE",493,680,866,700,487
"23852","Lx4B:L1:LINE",124,218,264,156,114
"23853","Lx5:L1:LINE",941,1262,1792,1166,717
"23854","Lx5b:L1:LINE",139,237,352,206,152
"23855","Lx5c:L1:LINE",1266,1859,2331,1763,1131
"23856","Lx6:L1:LINE",517,770,955,679,437
"23857","Lx7:L1:LINE",2002,2673,3404,2450,1532
"23858","Lx8:L1:LINE",3674,5188,6448,4891,3135
"23859","Lx8b:L1:LINE",1717,2527,3070,2386,1437
"23860","Lx9:L1:LINE",1769,2398,3086,2293,1641
"23861","Lx:L1:LINE",2843,4105,5026,3871,2872
"23862","MADE2:TcMar-Mariner:DNA",369,570,639,538,330
"23863","MARINER1_EC:TcMar-Tigger:DNA",0,0,0,0,0
"23864","MARNA:TcMar-Mariner:DNA",459,707,816,703,428
"23865","MER101B:ERV1:LTR",8,7,10,9,3
"23866","MER102a:hAT-Charlie:DNA",43,71,75,81,50
"23867","MER102b:hAT-Charlie:DNA",139,250,337,218,132
"23868","MER102c:hAT-Charlie:DNA",63,110,158,109,57
"23869","MER103C:hAT-Charlie:DNA",188,243,303,254,178
"23870","MER104:TcMar-Tc2:DNA",70,86,116,81,49
"23871","MER105:DNA:DNA",8,7,17,2,7
"23872","MER106A:hAT-Charlie:DNA",0,5,3,2,1
"23873","MER106B:hAT-Charlie:DNA",98,138,119,117,95
"23874","MER110-int:ERV1:LTR",1,1,6,2,3
"23875","MER110:ERV1:LTR",6,7,9,16,5
"23876","MER110A:ERV1:LTR",155,259,275,213,172
"23877","MER112:hAT-Charlie:DNA",658,996,984,952,796
