"","WT1","WT2","WT3","muMT1","muMT2"
"Gm37047",0,0,2,0,0
"Pantr1",429,749,694,587,775
"4930420N18Rik",0,0,0,0,0
"AC122898.1",47,87,93,66,81
"Pou3f3",2169,3082,3717,1967,2918
"Pantr2",20,48,52,31,38
"Dalir",45,64,79,59,74
"Mrps9",465,732,677,553,663
"Gm23126",0,0,0,0,0
"Gpr45",307,407,487,242,424
"Gm24001",0,0,0,0,0
"Tgfbrap1",939,1206,1482,751,1124
"Gm28782",0,1,0,1,2
"8430432A02Rik",6,7,11,11,5
"AI597479",727,972,1172,653,1013
"Fhl2",523,768,871,584,801
"Gm8210",0,0,0,0,1
"Gm29040",0,0,0,0,0
"Gm29610",0,0,0,0,0
"Gm29041",0,0,0,0,0
"Nck2",719,1195,1358,856,1304
"Gm37536",0,0,1,0,0
"Gm38228",0,0,2,0,1
"1500015O10Rik",17,1181,1316,874,980
"Gm29155",4,3,6,2,4
"Gm29157",0,15,17,6,15
"Gm29156",19,17,30,9,25
"Uxs1",633,1040,1086,671,960
"Gm16103",1,0,2,1,0
"Gm19587",0,5,2,0,3
"Gm8241",0,0,0,0,0
"Gm26352",0,0,0,0,0
"Gm24180",0,0,0,0,0
"Tpp2",997,1269,1611,838,1365
"Mettl21c",2,9,3,2,3
"Gm15838",0,0,0,0,0
"Gm8251",0,0,0,0,0
"Tex30",69,102,135,100,111
"Gm29247",0,0,0,0,0
"Kdelc1",93,147,141,97,152
"Bivm",523,615,804,406,623
"Ercc5",421,604,731,399,623
"Mettl21e",1,0,1,0,0
"Gm15833",3,0,0,0,0
"Gm5700",0,0,0,0,0
"Gm28893",0,0,0,0,0
"Txn-ps1",0,1,4,0,1
"Gulp1",35,112,112,58,93
"Gm37626",0,0,0,0,0
"Gm16102",0,1,1,0,0
"4930521E06Rik",0,0,0,0,0
"Gm38110",0,0,0,0,0
"Gm3489",0,0,0,0,0
"Gm19480",0,0,0,0,0
"Gm3496",0,0,0,0,0
"Gm5268",0,0,0,0,0
"Col3a1",153,152,295,64,101
"Gm47302",0,0,0,0,0
"Col5a2",81,120,186,53,83
"Gm38211",0,0,1,1,1
"Gm8296",0,0,0,0,0
"Gm7063",0,0,0,0,0
"Gm8304",0,0,0,0,0
"Gm23216",0,0,0,0,0
"Gm23974",0,0,0,0,0
"Gm8307",0,0,0,1,1
"Gm23984",0,0,0,0,0
"Wdr75",550,858,962,597,771
"Gm28906",1,0,0,0,0
"Gm5526",10,30,18,24,26
"Gm5269",0,1,0,0,0
"Gm18303",0,0,0,0,0
"Slc40a1",199,239,314,170,289
"Gm9496",0,0,0,0,0
"Rpl23a-ps1",0,0,0,0,0
"Gm3852",0,0,0,0,1
"Stk-ps2",0,0,0,0,0
"Gm18849",0,0,0,0,0
"Dnah7b",24,48,65,27,37
"n-R5s211",0,0,0,0,0
"Gm8326",0,4,4,1,3
"Dnah7c",58,88,108,53,60
"Slc39a10",2339,2924,3835,1521,2550
"Gm28151",29,44,56,29,61
"Gm37393",0,0,0,0,0
"Gm28527",0,2,0,0,0
"Gm28825",0,0,0,0,0
"Gm28826",0,0,0,0,0
"Gm4852",0,0,1,1,1
"Gm38090",0,0,0,0,0
"Mir6350",0,0,0,0,0
"Gm18117",0,0,0,0,0
"Gm37196",0,0,0,0,0
"Gm8337",1,3,4,3,2
"Gm22419",0,0,0,0,0
"Gm23829",0,0,0,0,0
"Gm19206",0,0,1,0,0
"Gm5974",0,0,0,0,0
"Gm23240",0,0,0,0,0
"Gm28830",0,0,0,0,0
"Gm8354",0,0,0,0,0
"Gm19124",0,0,0,0,0
"Gm8357",0,0,0,0,0
"Gm22693",0,0,0,0,0
"Gm28740",0,0,0,0,0
"Gm8367",0,0,0,0,0
"C230029F24Rik",0,0,0,0,0
"Gm6757",0,0,0,0,0
"Gm3605",0,0,0,0,0
"Gm28388",0,0,0,0,0
"Gm8384",0,0,0,0,0
"4933411E06Rik",0,0,0,0,0
"Gm8391",0,0,0,0,0
"Gm27330",0,0,0,0,0
"Gm29665",0,0,0,0,0
"Gm20118",0,0,0,0,0
"Gm25843",0,0,0,0,0
"Gm28321",0,0,0,0,0
"Tmeff2",1206,1693,1933,1279,1761
"Gm28322",0,0,1,0,2
"Gm25736",0,0,0,0,0
"Gm28319",0,0,0,0,0
"Gm28320",2,1,2,0,0
"Gm29325",4,5,2,4,0
"9330175M20Rik",4,7,11,5,3
"Cavin2",251,395,457,275,377
"Gm5253",0,0,1,0,1
"1700072G22Rik",0,0,0,0,0
"Nabp1",298,338,449,211,388
"Gm17767",9,11,11,3,8
"Gm37535",0,0,0,0,0
"Gm28055",0,2,0,0,0
"Myo1b",300,368,376,211,322
"Gm29453",0,0,0,0,0
"Gm28323",0,0,0,0,0
"Gm8419",0,1,0,0,0
"Gm27607",0,0,0,0,0
"Gm8420",0,1,1,0,1
"Stat4",1,4,4,3,1
"Gm28177",3,1,1,0,1
"Gm3940",0,1,0,0,0
"Gm31812",5,8,10,7,13
"Stat1",291,444,506,344,545
"Gm18301",0,0,0,0,0
"Gls",4782,6083,8049,3508,6170
"Gm5975",0,0,0,0,0
"Gm23460",0,0,0,0,0
"Nab1",560,765,927,512,693
"Gm5976",0,0,1,0,1
"Rps27a-ps1",0,0,0,0,2
"Gm553",1,2,0,3,0
"Gm28178",0,0,0,0,0
"Gm5527",0,1,1,1,0
"Nemp2",65,90,116,64,85
"Gm37242",3,4,7,2,3
"Mfsd6",1916,2595,3096,1809,2571
"Gm29670",0,0,0,0,1
"Gm28650",0,0,0,0,0
"Inpp1",592,717,896,508,692
