"","Veh1","Veh2","STZ1","STZ2","STZ3"
"Srpk3",227,244,299,263,177
"Idh3g",6334,6303,6939,6386,6282
"Pnck",3274,3235,3870,2954,3295
"Ssr4",1672,1620,1612,1585,1717
"Bcap31",2290,2275,2483,2172,2140
"Fam98a",2674,2426,2802,2686,2606
"Ltbp2",15,10,14,19,28
"Kmt2a",29436,27465,31048,30794,29600
"Ift46",2369,2492,2421,2202,2211
"Tmem25",2474,2558,3053,2728,2517
"Cd3g",2,4,0,2,38
"Trappc6a",211,235,226,191,242
"Supt6",21557,19905,23151,20238,21026
"Spag5",623,565,750,878,636
"Foxn1",5,4,1,2,0
"Unc119",1221,1291,1190,1094,1179
"Rab34",1056,1180,1121,1126,1016
"Sdf2",1940,2155,2174,1752,2073
"Ccne1",665,611,682,712,670
"Hsf2bp",15,27,16,29,18
"Bbc3",290,369,364,344,427
"Mybpc3",15,23,14,14,31
"Psmc3",7484,6879,7851,7193,7261
"Acp2",7150,6613,7461,6518,7514
"Rapsn",14,27,15,17,24
"Slc39a13",1497,1530,1445,1415,1281
"Celf2",70894,61475,77078,71904,72995
"Nr1h3",167,162,161,162,215
"Ddb2",910,850,972,899,858
"Spi1",132,179,203,185,539
"Sf3a1",6278,5770,6436,6007,5953
"Stat6",616,776,740,696,871
"Clgn",1187,1003,1292,1224,1056
"Napsa",2,4,8,10,42
"Vrk3",1329,1325,1486,1280,1332
"Smg9",1424,1330,1729,1551,1455
"Paxip1",4338,4066,4340,4181,4099
"Rmnd5a",16166,13694,16219,14750,15528
"Mov10",1090,1098,1081,1184,1096
"Ppm1j",7,10,8,17,16
"Rhoc",384,549,464,404,588
"Prr27",0,0,0,0,0
"Tead3",194,216,154,103,154
"Ppard",1243,1118,1254,1243,1157
"Def6",59,69,100,111,86
"Peg3",45720,41261,51445,43523,42199
"Zim1",409,348,471,349,461
"Metrn",1609,1709,1416,1293,1575
"Lmf1",1717,1537,1711,1652,1628
"Narfl",1409,1347,1634,1360,1378
"Angptl4",67,95,148,89,198
"Dbf4",172,168,250,194,182
"Daxx",1453,1522,1609,1420,1442
"Cd320",923,937,959,909,891
"Ipo4",5018,5259,5422,5051,4948
"Tm9sf1",1622,1735,1627,1403,1486
"Rec8",163,193,152,159,111
"Irf9",857,710,837,1225,1140
"Gmpr2",1138,1052,1248,1052,1175
"Mdp1",2164,2046,2326,2094,1989
"Dhrs1",2489,2559,2725,2355,3042
"Ncan",20832,22037,22877,22818,20464
"Tmem161a",1143,1231,1229,1216,1118
"Armc6",1338,1318,1520,1234,1354
"2310045N01Rik",1234,1218,1423,1224,1182
"Slc25a42",2135,1985,2268,2193,1936
"Snx9",1226,1151,1028,972,1124
"Ranbp3",3695,3674,3997,3672,3778
"Ndufa11",2678,2901,2617,2435,2423
"Bmp8b",7,8,20,16,10
"Nr2f6",1770,1841,1661,1631,1794
"Use1",1811,2075,2187,1949,1991
"Ocel1",1254,1113,1349,1344,1246
"Dyrk1b",3158,2877,3163,3056,2966
"Braf",30820,27853,30998,29380,30005
"Ndufb2",2328,2044,2395,2032,2108
"Hltf",4349,3692,4668,4014,4418
"Prpf6",5298,5170,5506,5032,5148
"Rgs19",1252,1149,1264,1172,1313
"Rgs20",869,1046,1086,1052,1059
"Abhd3",3225,3118,3394,3250,3194
"Snrpd1",1519,1474,1743,1460,1595
"Tchp",677,700,776,695,702
"Tiam1",14454,13889,14647,15542,14334
"Tsc2",11763,11374,12561,11802,11938
